airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Jet Airways,2019-06-01,Delhi,Cochin,19:15:00,12:35:00,1040,1.0,In-flight meal not included,10262
Indigo,2019-03-21,Delhi,Cochin,11:30:00,01:35:00,845,1.0,No Info,7318
Air India,2019-06-09,Banglore,Delhi,17:00:00,19:45:00,165,0.0,No Info,7171
Indigo,2019-04-24,Delhi,Cochin,20:25:00,01:30:00,305,1.0,No Info,5065
Multiple Carriers,2019-03-03,Delhi,Cochin,11:30:00,18:50:00,440,1.0,No Info,15135
Indigo,2019-06-03,Mumbai,Hyderabad,09:10:00,10:40:00,90,0.0,No Info,4049
Jet Airways,2019-05-18,Delhi,Cochin,13:25:00,19:00:00,1775,2.0,No Info,16704
Jet Airways,2019-03-24,Mumbai,Hyderabad,07:10:00,08:35:00,85,0.0,In-flight meal not included,2470
Multiple Carriers,2019-03-21,Delhi,Cochin,07:30:00,15:30:00,480,1.0,No Info,11269
Indigo,2019-06-03,Kolkata,Banglore,14:25:00,16:55:00,150,0.0,No Info,5644
Air India,2019-05-15,Kolkata,Banglore,09:25:00,17:20:00,1915,2.0,No Info,13616
Air India,2019-06-18,Delhi,Cochin,05:10:00,08:00:00,170,0.0,No Info,5201
Goair,2019-05-27,Banglore,Delhi,20:55:00,23:40:00,165,0.0,No Info,3419
Indigo,2019-05-27,Delhi,Cochin,14:20:00,22:30:00,490,1.0,No Info,6938
Air India,2019-03-03,Mumbai,Hyderabad,21:05:00,22:25:00,80,0.0,No Info,4937
Jet Airways,2019-06-01,Mumbai,Hyderabad,02:55:00,04:20:00,85,0.0,No Info,5678
Multiple Carriers,2019-03-06,Delhi,Cochin,12:50:00,01:35:00,765,1.0,No Info,15147
Vistara,2019-03-03,Banglore,New Delhi,09:50:00,12:35:00,165,0.0,No Info,8028
Vistara,2019-06-06,Kolkata,Banglore,17:00:00,10:45:00,1065,1.0,No Info,9187
Multiple Carriers,2019-06-12,Delhi,Cochin,07:10:00,16:10:00,540,1.0,No Info,6513
Jet Airways,2019-06-01,Delhi,Cochin,21:50:00,12:35:00,885,1.0,In-flight meal not included,10262
Multiple Carriers,2019-06-03,Delhi,Cochin,07:10:00,22:30:00,920,1.0,No Info,7878
Jet Airways,2019-06-01,Delhi,Cochin,19:30:00,04:25:00,535,2.0,No Info,13014
Spicejet,2019-06-21,Banglore,Delhi,05:55:00,08:35:00,160,0.0,No Info,3971
Air India,2019-04-24,Banglore,Delhi,13:20:00,16:10:00,170,0.0,No Info,6121
Jet Airways,2019-04-01,Kolkata,Banglore,20:00:00,22:35:00,1595,1.0,No Info,12681
Air India,2019-05-01,Delhi,Cochin,20:40:00,09:25:00,765,1.0,No Info,7480
Indigo,2019-05-27,Banglore,Delhi,06:05:00,08:50:00,165,0.0,No Info,4423
Jet Airways,2019-06-09,Delhi,Cochin,11:30:00,19:00:00,450,1.0,No Info,14714
Jet Airways,2019-05-12,Kolkata,Banglore,06:30:00,04:40:00,1330,1.0,In-flight meal not included,8586
Jet Airways,2019-05-06,Banglore,Delhi,17:45:00,20:45:00,180,0.0,In-flight meal not included,4030
Jet Airways,2019-06-12,Kolkata,Banglore,08:25:00,04:40:00,1215,1.0,In-flight meal not included,6224
Air India,2019-03-03,Mumbai,Hyderabad,06:20:00,07:40:00,80,0.0,No Info,4937
Jet Airways,2019-03-18,Banglore,New Delhi,08:55:00,18:25:00,570,1.0,No Info,12284
Jet Airways,2019-05-12,Kolkata,Banglore,14:05:00,23:35:00,570,1.0,No Info,14781
Air India,2019-04-03,Banglore,Delhi,21:05:00,23:55:00,170,0.0,No Info,4441
Indigo,2019-05-21,Mumbai,Hyderabad,21:20:00,22:50:00,90,0.0,No Info,2227
Indigo,2019-03-01,Mumbai,Hyderabad,16:55:00,18:25:00,90,0.0,No Info,8853
Indigo,2019-05-27,Kolkata,Banglore,21:25:00,00:05:00,160,0.0,No Info,4804
Jet Airways,2019-05-18,Delhi,Cochin,05:30:00,19:00:00,810,2.0,In-flight meal not included,13029
Jet Airways,2019-06-24,Delhi,Cochin,19:45:00,04:25:00,520,1.0,In-flight meal not included,10262
Jet Airways,2019-06-09,Kolkata,Banglore,21:10:00,22:35:00,1525,1.0,In-flight meal not included,10844
Multiple Carriers,2019-06-15,Delhi,Cochin,08:00:00,21:00:00,780,1.0,No Info,7408
Jet Airways,2019-06-12,Kolkata,Banglore,21:10:00,09:20:00,730,1.0,No Info,13044
Indigo,2019-04-12,Kolkata,Banglore,22:15:00,00:50:00,155,0.0,No Info,4174
Air Asia,2019-03-27,Delhi,Cochin,16:45:00,22:15:00,330,1.0,No Info,6151
Goair,2019-06-12,Delhi,Cochin,14:25:00,19:35:00,310,1.0,No Info,7870
Air India,2019-03-24,Delhi,Cochin,04:00:00,07:40:00,1660,1.0,No Info,8635
Indigo,2019-04-24,Kolkata,Banglore,11:30:00,14:05:00,155,0.0,No Info,4804
Spicejet,2019-04-06,Kolkata,Banglore,17:10:00,19:40:00,150,0.0,No check-in baggage included,3841
Jet Airways,2019-03-27,Delhi,Cochin,19:15:00,19:45:00,1470,1.0,In-flight meal not included,5963
Jet Airways,2019-06-12,Kolkata,Banglore,20:00:00,08:15:00,735,1.0,No Info,13044
Air Asia,2019-05-01,Kolkata,Banglore,10:20:00,12:55:00,155,0.0,No Info,4409
Air Asia,2019-05-24,Banglore,Delhi,23:55:00,02:45:00,170,0.0,No Info,4483
Spicejet,2019-03-03,Kolkata,Banglore,17:15:00,19:45:00,150,0.0,No Info,6251
Vistara,2019-04-24,Banglore,Delhi,09:45:00,12:35:00,170,0.0,No Info,5403
Vistara,2019-03-06,Mumbai,Hyderabad,20:55:00,22:55:00,1560,1.0,No Info,12395
Goair,2019-06-12,Delhi,Cochin,07:25:00,13:35:00,370,1.0,No Info,5842
Jet Airways,2019-06-03,Delhi,Cochin,21:25:00,12:35:00,910,2.0,No Info,13292
Air India,2019-03-09,Banglore,New Delhi,10:00:00,12:45:00,165,0.0,No Info,7801
Jet Airways,2019-04-01,Kolkata,Banglore,09:35:00,19:10:00,575,1.0,No Info,11467
Vistara,2019-04-01,Banglore,Delhi,07:00:00,09:40:00,160,0.0,No Info,5403
Indigo,2019-03-15,Mumbai,Hyderabad,19:05:00,20:30:00,85,0.0,No Info,2754
Vistara,2019-05-12,Banglore,Delhi,11:30:00,14:20:00,170,0.0,No Info,4668
Air India,2019-03-27,Delhi,Cochin,12:00:00,19:15:00,435,2.0,No Info,10493
Jet Airways,2019-03-27,Delhi,Cochin,05:10:00,18:50:00,820,2.0,In-flight meal not included,8728
Jet Airways,2019-06-15,Mumbai,Hyderabad,19:35:00,21:05:00,90,0.0,No Info,5678
Air Asia,2019-05-15,Delhi,Cochin,07:55:00,13:25:00,330,1.0,No Info,6451
Indigo,2019-06-24,Delhi,Cochin,05:10:00,10:05:00,295,1.0,No Info,6496
Spicejet,2019-05-21,Kolkata,Banglore,06:55:00,09:30:00,155,0.0,No check-in baggage included,3841
Jet Airways,2019-06-03,Banglore,Delhi,15:15:00,18:10:00,175,0.0,In-flight meal not included,5769
Multiple Carriers,2019-05-21,Delhi,Cochin,07:05:00,21:00:00,835,1.0,In-flight meal not included,9930
Vistara,2019-03-06,Mumbai,Hyderabad,15:40:00,09:25:00,1065,1.0,No Info,12395
Vistara,2019-04-18,Delhi,Cochin,14:40:00,17:50:00,190,0.0,No Info,6216
Jet Airways,2019-05-01,Kolkata,Banglore,08:25:00,18:15:00,590,1.0,In-flight meal not included,10844
Indigo,2019-05-21,Chennai,Kolkata,13:15:00,15:35:00,140,0.0,No Info,3597
Spicejet,2019-03-24,Banglore,New Delhi,20:30:00,23:20:00,170,0.0,No check-in baggage included,3873
Indigo,2019-03-01,Delhi,Cochin,04:55:00,21:20:00,985,2.0,No Info,10278
Multiple Carriers,2019-05-24,Delhi,Cochin,17:45:00,01:30:00,465,1.0,No Info,9140
Spicejet,2019-03-18,Mumbai,Hyderabad,22:45:00,00:10:00,85,0.0,No check-in baggage included,1965
Spicejet,2019-05-27,Delhi,Cochin,17:55:00,22:50:00,295,1.0,No Info,5673
Multiple Carriers,2019-06-15,Delhi,Cochin,08:00:00,19:00:00,660,1.0,No Info,12192
Spicejet,2019-06-03,Delhi,Cochin,06:05:00,11:20:00,315,1.0,No Info,5583
Jet Airways,2019-05-09,Mumbai,Hyderabad,02:55:00,04:20:00,85,0.0,No Info,5678
Jet Airways,2019-05-01,Kolkata,Banglore,16:30:00,22:35:00,365,1.0,No Info,14781
Indigo,2019-03-03,Delhi,Cochin,14:30:00,17:35:00,185,0.0,No Info,7673
Jet Airways,2019-05-12,Kolkata,Banglore,06:30:00,12:00:00,330,1.0,No Info,13941
Jet Airways,2019-05-06,Kolkata,Banglore,14:05:00,12:00:00,1315,1.0,No Info,14388
Air India,2019-06-12,Kolkata,Banglore,20:30:00,13:45:00,1035,2.0,No Info,12224
Vistara,2019-03-21,Banglore,New Delhi,11:30:00,14:10:00,160,0.0,No Info,5403
Spicejet,2019-04-27,Banglore,Delhi,09:30:00,12:20:00,170,0.0,No Info,4991
Multiple Carriers,2019-06-06,Delhi,Cochin,11:30:00,21:00:00,570,1.0,No Info,13587
Indigo,2019-05-27,Kolkata,Banglore,20:20:00,22:55:00,155,0.0,No Info,4804
Jet Airways,2019-06-15,Delhi,Cochin,11:45:00,12:35:00,1490,2.0,No Info,13882
Jet Airways,2019-06-27,Delhi,Cochin,13:25:00,12:35:00,1390,2.0,In-flight meal not included,11150
Multiple Carriers,2019-06-06,Delhi,Cochin,04:55:00,12:35:00,460,1.0,No Info,10678
Multiple Carriers,2019-05-09,Delhi,Cochin,14:00:00,21:00:00,420,1.0,No Info,13727
Air India,2019-03-06,Mumbai,Hyderabad,16:00:00,23:45:00,465,1.0,No Info,11678
Air India,2019-05-03,Banglore,Delhi,13:20:00,16:10:00,170,0.0,No Info,6121
Air India,2019-06-06,Kolkata,Banglore,08:20:00,20:25:00,725,2.0,No Info,11432
Indigo,2019-05-21,Kolkata,Banglore,19:55:00,23:50:00,235,1.0,No Info,4226
Jet Airways,2019-06-01,Delhi,Cochin,05:30:00,12:35:00,425,2.0,In-flight meal not included,13344
Jet Airways,2019-03-24,Kolkata,Banglore,13:55:00,16:20:00,1585,1.0,In-flight meal not included,10031
Air India,2019-06-12,Kolkata,Banglore,16:50:00,11:10:00,1100,1.0,No Info,8366
Vistara,2019-04-24,Banglore,Delhi,17:00:00,19:35:00,155,0.0,No Info,5613
Indigo,2019-05-09,Chennai,Kolkata,05:15:00,07:40:00,145,0.0,No Info,3540
Jet Airways,2019-03-15,Banglore,New Delhi,05:45:00,16:10:00,625,1.0,In-flight meal not included,9134
Vistara,2019-05-15,Kolkata,Banglore,17:00:00,18:50:00,1550,1.0,No Info,9345
Jet Airways,2019-06-06,Delhi,Cochin,13:00:00,19:00:00,360,1.0,No Info,14714
Indigo,2019-03-15,Banglore,New Delhi,23:30:00,02:20:00,170,0.0,No Info,8033
Air India,2019-05-24,Kolkata,Banglore,19:00:00,04:40:00,580,1.0,No Info,6327
Goair,2019-06-06,Banglore,Delhi,11:40:00,14:30:00,170,0.0,No Info,3898
Jet Airways,2019-05-24,Kolkata,Banglore,09:35:00,14:25:00,1730,1.0,No Info,12121
Jet Airways,2019-05-09,Kolkata,Banglore,17:00:00,23:35:00,395,1.0,In-flight meal not included,7341
Multiple Carriers,2019-03-21,Delhi,Cochin,14:35:00,22:20:00,465,1.0,In-flight meal not included,5999
Jet Airways,2019-05-24,Kolkata,Banglore,14:05:00,04:40:00,875,1.0,No Info,13731
Indigo,2019-03-01,Kolkata,Banglore,17:15:00,19:55:00,160,0.0,No Info,6565
Spicejet,2019-06-06,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No check-in baggage included,3543
Jet Airways,2019-06-18,Banglore,Delhi,11:10:00,14:05:00,175,0.0,No Info,8016
Vistara,2019-05-01,Kolkata,Banglore,20:20:00,23:25:00,1625,1.0,No Info,8085
Jet Airways,2019-06-03,Delhi,Cochin,17:30:00,19:00:00,1530,1.0,No Info,14714
Indigo,2019-05-24,Kolkata,Banglore,14:25:00,16:55:00,150,0.0,No Info,5224
Indigo,2019-03-03,Banglore,New Delhi,00:40:00,03:25:00,165,0.0,No Info,6144
Multiple Carriers,2019-06-01,Delhi,Cochin,08:00:00,21:00:00,780,1.0,No Info,13587
Jet Airways,2019-03-21,Banglore,New Delhi,11:40:00,11:25:00,1425,1.0,In-flight meal not included,7832
Air India,2019-05-12,Kolkata,Banglore,09:25:00,13:45:00,1700,2.0,No Info,12592
Jet Airways,2019-04-27,Banglore,Delhi,15:15:00,18:10:00,175,0.0,No Info,7229
Jet Airways,2019-03-27,Mumbai,Hyderabad,19:35:00,21:05:00,90,0.0,In-flight meal not included,2071
Jet Airways,2019-03-21,Delhi,Cochin,10:20:00,18:50:00,1950,2.0,No Info,11664
Multiple Carriers,2019-05-18,Delhi,Cochin,11:40:00,19:15:00,455,1.0,No Info,9211
Indigo,2019-06-15,Delhi,Cochin,02:00:00,07:25:00,325,1.0,No Info,5636
Indigo,2019-03-01,Banglore,New Delhi,13:40:00,18:35:00,295,1.0,No Info,8707
Air India,2019-03-06,Mumbai,Hyderabad,06:00:00,09:10:00,1630,2.0,No Info,13169
Jet Airways,2019-05-09,Kolkata,Banglore,09:35:00,23:35:00,840,1.0,No Info,12121
Indigo,2019-06-01,Delhi,Cochin,23:30:00,04:35:00,305,1.0,No Info,10112
Goair,2019-04-06,Delhi,Cochin,07:00:00,12:55:00,355,1.0,No Info,5135
Jet Airways,2019-05-18,Delhi,Cochin,09:40:00,04:25:00,1125,2.0,No Info,15129
Indigo,2019-06-01,Delhi,Cochin,10:35:00,01:30:00,895,1.0,No Info,6206
Jet Airways,2019-06-12,Delhi,Cochin,09:40:00,04:25:00,1125,2.0,In-flight meal not included,10368
Jet Airways,2019-05-18,Delhi,Cochin,17:30:00,04:25:00,655,1.0,In-flight meal not included,12373
Jet Airways,2019-04-24,Banglore,Delhi,17:45:00,20:45:00,180,0.0,In-flight meal not included,4544
Jet Airways,2019-03-24,Kolkata,Banglore,13:55:00,23:25:00,570,1.0,In-flight meal not included,11134
Vistara,2019-05-21,Kolkata,Banglore,07:10:00,22:40:00,930,1.0,No Info,8452
Jet Airways,2019-06-06,Delhi,Cochin,21:50:00,19:00:00,1270,1.0,No Info,14714
Vistara,2019-03-06,Mumbai,Hyderabad,08:45:00,16:45:00,480,1.0,No Info,12395
Air India,2019-03-03,Delhi,Cochin,04:00:00,07:40:00,1660,1.0,No Info,14462
Indigo,2019-05-01,Banglore,Delhi,08:30:00,11:20:00,170,0.0,No Info,4823
Indigo,2019-05-27,Delhi,Cochin,07:35:00,16:10:00,515,1.0,No Info,7514
Indigo,2019-06-03,Chennai,Kolkata,13:15:00,15:35:00,140,0.0,No Info,3597
Vistara,2019-04-15,Banglore,Delhi,21:00:00,23:50:00,170,0.0,No Info,5403
Multiple Carriers,2019-06-01,Delhi,Cochin,13:00:00,19:15:00,375,1.0,No Info,16108
Indigo,2019-06-15,Mumbai,Hyderabad,21:20:00,22:50:00,90,0.0,No Info,2227
Indigo,2019-06-09,Chennai,Kolkata,05:15:00,07:40:00,145,0.0,No Info,3540
Jet Airways,2019-06-01,Delhi,Cochin,19:30:00,04:25:00,535,2.0,In-flight meal not included,10368
Multiple Carriers,2019-06-27,Delhi,Cochin,17:45:00,01:30:00,465,1.0,In-flight meal not included,5797
Indigo,2019-03-21,Kolkata,Banglore,17:15:00,19:55:00,160,0.0,No Info,4148
Spicejet,2019-03-01,Kolkata,Banglore,09:00:00,11:30:00,150,0.0,No Info,5515
Multiple Carriers,2019-03-21,Delhi,Cochin,02:15:00,13:20:00,665,1.0,No Info,13961
Spicejet,2019-05-15,Kolkata,Banglore,11:15:00,18:30:00,435,1.0,No Info,8844
Indigo,2019-03-01,Banglore,New Delhi,07:10:00,10:05:00,175,0.0,No Info,11934
Indigo,2019-03-12,Kolkata,Banglore,20:25:00,23:05:00,160,0.0,No Info,4148
Jet Airways,2019-06-24,Delhi,Cochin,14:35:00,04:25:00,830,2.0,No Info,13376
Indigo,2019-06-03,Delhi,Cochin,05:05:00,16:10:00,665,1.0,No Info,6818
Indigo,2019-03-06,Delhi,Cochin,02:05:00,07:25:00,320,1.0,No Info,10851
Multiple Carriers,2019-05-18,Delhi,Cochin,09:45:00,22:30:00,765,1.0,No Info,10348
Air Asia,2019-05-12,Kolkata,Banglore,19:55:00,22:25:00,150,0.0,No Info,5530
Indigo,2019-06-03,Delhi,Cochin,04:55:00,21:00:00,965,1.0,No Info,6838
Multiple Carriers,2019-06-06,Delhi,Cochin,10:00:00,21:00:00,660,1.0,No Info,7933
Multiple Carriers,2019-03-21,Delhi,Cochin,11:40:00,18:50:00,430,1.0,No Info,11999
Spicejet,2019-06-03,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No check-in baggage included,3543
Multiple Carriers,2019-05-15,Delhi,Cochin,06:40:00,19:00:00,740,1.0,No Info,9315
Multiple Carriers,2019-06-01,Delhi,Cochin,12:50:00,19:15:00,385,1.0,No Info,9526
Jet Airways,2019-03-01,Banglore,New Delhi,08:00:00,18:25:00,625,1.0,No Info,26890
Spicejet,2019-05-27,Banglore,Delhi,21:10:00,00:05:00,175,0.0,No check-in baggage included,3257
Vistara,2019-03-09,Banglore,New Delhi,16:00:00,18:35:00,155,0.0,No Info,7923
Vistara,2019-06-09,Kolkata,Banglore,20:20:00,23:25:00,1625,1.0,No Info,8085
Jet Airways,2019-06-06,Delhi,Cochin,09:40:00,04:25:00,1125,2.0,No Info,13014
Spicejet,2019-06-09,Mumbai,Hyderabad,22:45:00,00:15:00,90,0.0,No check-in baggage included,1965
Spicejet,2019-03-27,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No check-in baggage included,3332
Jet Airways,2019-05-06,Kolkata,Banglore,09:35:00,19:10:00,575,1.0,No Info,13067
Jet Airways,2019-06-27,Delhi,Cochin,21:25:00,19:00:00,1295,2.0,No Info,13292
Vistara,2019-06-12,Kolkata,Banglore,07:10:00,09:05:00,1555,1.0,No Info,7927
Indigo,2019-06-03,Kolkata,Banglore,17:15:00,19:50:00,155,0.0,No Info,4804
Indigo,2019-04-21,Banglore,Delhi,21:15:00,00:15:00,180,0.0,No Info,4423
Jet Airways,2019-06-01,Delhi,Cochin,13:00:00,19:00:00,360,1.0,No Info,14714
Jet Airways,2019-05-12,Kolkata,Banglore,17:00:00,22:05:00,1745,1.0,No Info,13067
Jet Airways,2019-03-12,Banglore,New Delhi,08:55:00,10:25:00,1530,1.0,In-flight meal not included,11087
Air India,2019-05-03,Mumbai,Hyderabad,21:05:00,22:25:00,80,0.0,No Info,3100
Indigo,2019-06-21,Banglore,Delhi,19:30:00,22:15:00,165,0.0,No Info,5780
Indigo,2019-05-18,Delhi,Cochin,05:35:00,08:50:00,195,0.0,No Info,6015
Air India,2019-03-09,Delhi,Cochin,20:30:00,08:15:00,705,1.0,No Info,8991
Indigo,2019-06-03,Delhi,Cochin,08:30:00,21:00:00,750,1.0,No Info,6416
Jet Airways,2019-05-09,Delhi,Cochin,09:40:00,04:25:00,1125,2.0,No Info,15129
Air Asia,2019-05-06,Banglore,Delhi,04:55:00,07:45:00,170,0.0,No Info,4282
Indigo,2019-03-09,Mumbai,Hyderabad,06:20:00,07:45:00,85,0.0,No Info,4392
Jet Airways,2019-05-24,Kolkata,Banglore,17:00:00,23:35:00,395,1.0,No Info,14151
Multiple Carriers,2019-06-09,Delhi,Cochin,19:00:00,01:30:00,390,1.0,No Info,7408
Multiple Carriers,2019-03-06,Delhi,Cochin,13:55:00,01:35:00,700,1.0,In-flight meal not included,15136
Jet Airways,2019-05-01,Kolkata,Banglore,17:00:00,21:05:00,1685,1.0,No Info,12121
Jet Airways,2019-05-09,Kolkata,Banglore,16:30:00,08:15:00,945,1.0,No Info,13941
Jet Airways,2019-03-27,Delhi,Cochin,05:10:00,19:45:00,2315,2.0,In-flight meal not included,8098
Jet Airways,2019-03-12,Banglore,New Delhi,16:55:00,07:40:00,885,1.0,No Info,13817
Jet Airways,2019-05-18,Delhi,Cochin,05:30:00,04:25:00,1375,2.0,In-flight meal not included,13029
Indigo,2019-03-24,Banglore,New Delhi,13:00:00,15:50:00,170,0.0,No Info,8033
Vistara,2019-06-15,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No Info,11982
Indigo,2019-03-03,Delhi,Cochin,07:30:00,21:00:00,810,1.0,No Info,14871
Multiple Carriers,2019-06-12,Delhi,Cochin,07:10:00,22:30:00,920,1.0,No Info,6513
Jet Airways,2019-05-15,Kolkata,Banglore,21:10:00,04:40:00,450,1.0,In-flight meal not included,9663
Jet Airways,2019-03-21,Banglore,New Delhi,08:00:00,15:15:00,435,1.0,In-flight meal not included,7832
Indigo,2019-04-21,Kolkata,Banglore,20:20:00,22:55:00,155,0.0,No Info,4804
Spicejet,2019-04-12,Banglore,Delhi,09:30:00,12:20:00,170,0.0,No Info,4991
Jet Airways,2019-03-12,Banglore,New Delhi,09:45:00,14:25:00,280,1.0,No Info,12295
Spicejet,2019-04-03,Mumbai,Hyderabad,05:45:00,07:15:00,90,0.0,No check-in baggage included,1965
Jet Airways,2019-05-15,Banglore,Delhi,19:50:00,22:50:00,180,0.0,In-flight meal not included,4030
Jet Airways,2019-03-12,Banglore,New Delhi,20:35:00,10:45:00,850,1.0,In-flight meal not included,11087
